dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2013,481426823,Schweiz. Depeschenagentur AG,18.4,Informationsarbeit,3135315.65
BK,Schweizerische Bundeskanzlei,2013,482687147,GFS.Bern Forsch.Politik Kommunikation+Gesellsch.,18.4,Informationsarbeit,419580.00
BK,Schweizerische Bundeskanzlei,2013,483451902,Jeanmaire & Michel AG,18.5,Sprach- und Übersetzungsdienstleistungen,189520.00
BK,Schweizerische Bundeskanzlei,2013,486909807,ITech Consult AG,15.4,SW-Pflege und HW Wartung,180775.82
BK,Schweizerische Bundeskanzlei,2013,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,167815.80
BK,Schweizerische Bundeskanzlei,2013,481838001,APP Unternehmensberatung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,8640.00
BK,Schweizerische Bundeskanzlei,2013,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,113077.00
BK,Schweizerische Bundeskanzlei,2013,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,60531.90
BK,Schweizerische Bundeskanzlei,2013,487375479,Swisscom Event & Media Solutions AG,15.4,SW-Pflege und HW Wartung,143513.56
BK,Schweizerische Bundeskanzlei,2013,487375479,Swisscom Event & Media Solutions AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,9914.90
BK,Schweizerische Bundeskanzlei,2013,483646233,Hinderling Volkart,18.4,Informationsarbeit,129384.00
BK,Schweizerische Bundeskanzlei,2013,480802409,Pentag Informatik AG,15.4,SW-Pflege und HW Wartung,71828.10
BK,Schweizerische Bundeskanzlei,2013,480802409,Pentag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,53280.00
BK,Schweizerische Bundeskanzlei,2013,537708422,Seitenbau GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,105720.00
BK,Schweizerische Bundeskanzlei,2013,537708422,Seitenbau GmbH,15.4,SW-Pflege und HW Wartung,11700.00
BK,Schweizerische Bundeskanzlei,2013,480930044,IfA Gesundheitsförderung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,77124.15
BK,Schweizerische Bundeskanzlei,2013,484121194,Finanzverwaltung des Kantons Graubü,18.5,Sprach- und Übersetzungsdienstleistungen,73599.75
BK,Schweizerische Bundeskanzlei,2013,482747909,Infoteam Informatique Technique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,61199.80
BK,Schweizerische Bundeskanzlei,2013,482747909,Infoteam Informatique Technique SA,15.4,SW-Pflege und HW Wartung,9224.45
BK,Schweizerische Bundeskanzlei,2013,432091913,Universita di Bologna,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,66825.00
BK,Schweizerische Bundeskanzlei,2013,483393042,Blogwerk AG,18.4,Informationsarbeit,65482.80
BK,Schweizerische Bundeskanzlei,2013,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",64870.25
BK,Schweizerische Bundeskanzlei,2013,480683648,Schweizerische Bundesbahnen SBB,18.4,Informationsarbeit,216.00
BK,Schweizerische Bundeskanzlei,2013,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,129.60
BK,Schweizerische Bundeskanzlei,2013,482721862,POHN IT-Consulting GmbH,15.4,SW-Pflege und HW Wartung,54228.60
BK,Schweizerische Bundeskanzlei,2013,483353053,Université de Fribourg,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,45000.00
BK,Schweizerische Bundeskanzlei,2013,483353053,Université de Fribourg,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,8259.80
BK,Schweizerische Bundeskanzlei,2013,483637224,Encore Pictures GmbH,18.4,Informationsarbeit,52520.00
BK,Schweizerische Bundeskanzlei,2013,481114986,Swiss Post Solutions AG,14.1,Postdienste,51666.00
BK,Schweizerische Bundeskanzlei,2013,376011354,MultiCorpora International Inc.,15.2,Software inkl. Lizenzen,48262.80
BK,Schweizerische Bundeskanzlei,2013,376011354,MultiCorpora International Inc.,15.4,SW-Pflege und HW Wartung,3240.00
BK,Schweizerische Bundeskanzlei,2013,484633693,Elefant Studios AG,18.4,Informationsarbeit,50936.10
BK,Schweizerische Bundeskanzlei,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,50881.10
BK,Schweizerische Bundeskanzlei,2013,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,50229.00
BK,Schweizerische Bundeskanzlei,2013,485129519,Ironforge GmbH Consulting,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,47822.40
BK,Schweizerische Bundeskanzlei,2013,486134013,bmpartner Blaser Meewes & Partner A,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,47500.00
BK,Schweizerische Bundeskanzlei,2013,480822068,Fabasoft CH Software AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,46656.00
BK,Schweizerische Bundeskanzlei,2013,484105635,Eidgenössische Technische Hochschul,18.3,Beratungs-DL für Management und Organisation sowie Coaching,39997.00
BK,Schweizerische Bundeskanzlei,2013,483473187,Hotel Allegro Bern AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,39189.10
BK,Schweizerische Bundeskanzlei,2013,481051121,prospective media services pms AG Dienstleistungen Human Res,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",38790.75
BK,Schweizerische Bundeskanzlei,2013,481229529,Pozzi Elisabetta traduzioni,18.5,Sprach- und Übersetzungsdienstleistungen,36702.65
BK,Schweizerische Bundeskanzlei,2013,481076537,Université de Genève,18.4,Informationsarbeit,34560.00
BK,Schweizerische Bundeskanzlei,2013,481076537,Université de Genève,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",1500.00
BK,Schweizerische Bundeskanzlei,2013,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",18.4,Informationsarbeit,34560.00
BK,Schweizerische Bundeskanzlei,2013,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",33495.73
BK,Schweizerische Bundeskanzlei,2013,486620250,Leafit GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,29586.60
BK,Schweizerische Bundeskanzlei,2013,486620250,Leafit GmbH,15.4,SW-Pflege und HW Wartung,3240.00
BK,Schweizerische Bundeskanzlei,2013,733909030,OECD,18.3,Beratungs-DL für Management und Organisation sowie Coaching,29599.20
BK,Schweizerische Bundeskanzlei,2013,486307119,MTF Thörishaus AG EDV-Produkte,15.4,SW-Pflege und HW Wartung,28571.05
BK,Schweizerische Bundeskanzlei,2013,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,25223.40
BK,Schweizerische Bundeskanzlei,2013,482073371,ACE Project Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,2964.60
BK,Schweizerische Bundeskanzlei,2013,480301576,ecmt GmbH,15.4,SW-Pflege und HW Wartung,27000.00
BK,Schweizerische Bundeskanzlei,2013,481906613,Decker Consulting GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,19051.20
BK,Schweizerische Bundeskanzlei,2013,481906613,Decker Consulting GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,3547.80
BK,Schweizerische Bundeskanzlei,2013,481906613,Decker Consulting GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",2673.00
