dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2014,481426823,Schweiz. Depeschenagentur AG,18.4,Informationsarbeit,2539800.35
BK,Schweizerische Bundeskanzlei,2014,481838001,APP Unternehmensberatung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,285973.2
BK,Schweizerische Bundeskanzlei,2014,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,78462
BK,Schweizerische Bundeskanzlei,2014,484115741,Finanzverwaltung Aargau Sektion Tresorerie,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,300000
BK,Schweizerische Bundeskanzlei,2014,482687147,GFS.Bern Forsch.Politik Kommunikation+Gesellsch.,18.4,Informationsarbeit,261900
BK,Schweizerische Bundeskanzlei,2014,486134013,bmpartner Blaser Meewes & Partner A,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,162860
BK,Schweizerische Bundeskanzlei,2014,486134013,bmpartner Blaser Meewes & Partner A,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,22458.4
BK,Schweizerische Bundeskanzlei,2014,487375479,Swisscom Event & Media Solutions AG,15.4,SW-Pflege und HW Wartung,154420.3
BK,Schweizerische Bundeskanzlei,2014,487375479,Swisscom Event & Media Solutions AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,22275
BK,Schweizerische Bundeskanzlei,2014,482004975,Socom,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,175753.8
BK,Schweizerische Bundeskanzlei,2014,481698967,TWI AG Technisch-Wissenschaftliche Informatik,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,154396.8
BK,Schweizerische Bundeskanzlei,2014,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,95180.9
BK,Schweizerische Bundeskanzlei,2014,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,52440.6
BK,Schweizerische Bundeskanzlei,2014,484121194,Finanzverwaltung des Kantons Graubü,18.5,Sprach- und Übersetzungsdienstleistungen,114885.7
BK,Schweizerische Bundeskanzlei,2014,482898082,Strategic Knowledge Group GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,83912.5
BK,Schweizerische Bundeskanzlei,2014,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,65269.8
BK,Schweizerische Bundeskanzlei,2014,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",60208
BK,Schweizerische Bundeskanzlei,2014,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,372.6
BK,Schweizerische Bundeskanzlei,2014,537708422,Seitenbau GmbH,15.4,SW-Pflege und HW Wartung,37805
BK,Schweizerische Bundeskanzlei,2014,537708422,Seitenbau GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,19800
BK,Schweizerische Bundeskanzlei,2014,482249182,IQ Plus AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,56624.5
BK,Schweizerische Bundeskanzlei,2014,481853559,Scheuring Project Management AG,15.2,Software inkl. Lizenzen,49720.8
BK,Schweizerische Bundeskanzlei,2014,481853559,Scheuring Project Management AG,15.4,SW-Pflege und HW Wartung,4895.1
BK,Schweizerische Bundeskanzlei,2014,482522427,Swiss Post International Logistics AG / General Parcel,14.1,Postdienste,47844.8
BK,Schweizerische Bundeskanzlei,2014,481114986,Swiss Post Solutions AG,14.1,Postdienste,47804.5
BK,Schweizerische Bundeskanzlei,2014,483353053,Université de Fribourg,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,40500
BK,Schweizerische Bundeskanzlei,2014,483353053,Université de Fribourg,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",1370
BK,Schweizerische Bundeskanzlei,2014,482747909,Infoteam Informatique Technique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,24170.4
BK,Schweizerische Bundeskanzlei,2014,482747909,Infoteam Informatique Technique SA,15.4,SW-Pflege und HW Wartung,16965.95
BK,Schweizerische Bundeskanzlei,2014,482752065,"Universität Zürich, Kasse Finanzabteilung",18.4,Informationsarbeit,34560
BK,Schweizerische Bundeskanzlei,2014,482752065,"Universität Zürich, Kasse Finanzabteilung",6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",1927.65
BK,Schweizerische Bundeskanzlei,2014,484789594,Antistatique.net Sàrl,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,33523.2
BK,Schweizerische Bundeskanzlei,2014,480301576,ecmt GmbH,15.4,SW-Pflege und HW Wartung,27000
BK,Schweizerische Bundeskanzlei,2014,480301576,ecmt GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,6080.85
BK,Schweizerische Bundeskanzlei,2014,480802409,Pentag Informatik AG,15.4,SW-Pflege und HW Wartung,15822.1
BK,Schweizerische Bundeskanzlei,2014,480802409,Pentag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,13680
BK,Schweizerische Bundeskanzlei,2014,376011354,MultiCorpora International Inc.,15.2,Software inkl. Lizenzen,23507.5
BK,Schweizerische Bundeskanzlei,2014,376011354,MultiCorpora International Inc.,15.4,SW-Pflege und HW Wartung,4211.25
BK,Schweizerische Bundeskanzlei,2014,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",20466.5
BK,Schweizerische Bundeskanzlei,2014,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,4888.65
BK,Schweizerische Bundeskanzlei,2014,484927327,Liquidbit Software + IT Services,15.4,SW-Pflege und HW Wartung,22220
BK,Schweizerische Bundeskanzlei,2014,484927327,Liquidbit Software + IT Services,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,2655
BK,Schweizerische Bundeskanzlei,2014,342619347,BW Management: Projekte + Training,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,24187.44
BK,Schweizerische Bundeskanzlei,2014,480910665,Canoo Engineering AG,18.5,Sprach- und Übersetzungsdienstleistungen,23868
BK,Schweizerische Bundeskanzlei,2014,481051121,prospective media services pms AG Dienstleistungen Human Res,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",23035.2
BK,Schweizerische Bundeskanzlei,2014,480580922,SRG SSR idée suisse Media Services,18.5,Sprach- und Übersetzungsdienstleistungen,12960
BK,Schweizerische Bundeskanzlei,2014,480580922,SRG SSR idée suisse Media Services,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",9458.65
BK,Schweizerische Bundeskanzlei,2014,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,22113
BK,Schweizerische Bundeskanzlei,2014,485553015,Notch Interactive GmbH,18.4,Informationsarbeit,20442.2
BK,Schweizerische Bundeskanzlei,2014,486307119,MTF Thörishaus AG EDV-Produkte,15.1,Hardware,20214
BK,Schweizerische Bundeskanzlei,2014,481286305,MS Schmid Management,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,19950
BK,Schweizerische Bundeskanzlei,2014,486945715,Trivadis Services AG,15.4,SW-Pflege und HW Wartung,19774.2
BK,Schweizerische Bundeskanzlei,2014,486346398,NH Hoteles Switzerland GmbH,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",18557.6
BK,Schweizerische Bundeskanzlei,2014,480567093,comperio.ch AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,14250.4
BK,Schweizerische Bundeskanzlei,2014,480567093,comperio.ch AG,15.4,SW-Pflege und HW Wartung,3736.8
BK,Schweizerische Bundeskanzlei,2014,482777500,OS Objectif Sécurité SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,17690.4
BK,Schweizerische Bundeskanzlei,2014,481369825,Keystone,18.4,Informationsarbeit,17415
BK,Schweizerische Bundeskanzlei,2014,481369825,Keystone,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",54
