dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 EDA,1097 Informatik EDA,1112 BRZ
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",4427821.76,4737218.04,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",,20811.3,225798.59,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,3648.25,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,9.1,"Bundespublikationen, Drucksachen",,2580.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,7648845,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,23470,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,7658006.48,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483156464,Hochdorf Swiss Milk AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,39.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,5193227.09,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483961541,Emmi International Ltd,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,1376.1,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,4130775,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,317380939,Consortium GOPA Consultants and ECO,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2500000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,354635682,Ramboll Natura AB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1893000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,480199694,Nüssli (Schweiz) AG Gerüste,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1865000,,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483130055,Financial Systems Development Services AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1000000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483130055,Financial Systems Development Services AG,6.1,"Transportdienstleistungen, Güter und Waren",,750000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,417526274,Triodos Facet,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1551500,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482653326,Dell SA,15.1,Hardware,,,1494081.9,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482653326,Dell SA,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,1215,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482653326,Dell SA,15.4,SW-Pflege und HW Wartung,,,370.8,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,484335864,KEK - CDC AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,19348,1136577,,
