dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 EDA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,9791914.46,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480301808,Skat Consulting,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,8564604.66,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",1764649.59,3839422.27,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",1402447.38,,96857.5
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1152755.76,1050,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,177126.86,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,19.4,"Zivile Bauten, Betrieb Immobilien",64250.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,7700977.75,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,5986414.3,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,370246570,Pamiga Finance S.A. Compartment B,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,3750000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480779271,TC TEAM CONSULT SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,3452838,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,3414015,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483130055,Financial Systems Development Services AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2766105.95,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,312335412,Niras A/S,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,2600000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,484335864,KEK - CDC AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2469416.5,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,484335864,KEK - CDC AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,53492.4,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,484335864,KEK - CDC AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1648.2,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,730707593,Etat de Norvège,19.3,"Zivile Bauten, Miete",1498950,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480199694,Nüssli (Schweiz) AG Gerüste,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1361015.85,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,317380939,Consortium GOPA Consultants and ECO,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1316807,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,354635682,Ramboll Natura AB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1299947.14,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483663410,AD Solution AG IT-Produkte,15.1,Hardware,,,1272715.45
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",706776.96,249600.45,-589.2
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",144000.08,,19021.65
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,40905.51,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,26696.75,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",1036.8,14889.85,108.35
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480405187,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1171683.38,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480405187,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,-260.28,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480371447,Sarmap SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1140000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,537715778,Dorsch Internat. Consultants GmbH In Joint Venture with CBI,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1051000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,6.1,"Transportdienstleistungen, Güter und Waren",750500.93,,2398.6
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,14.2,Diplomatischer Kurier,,173838.31,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,86323.03,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,14.1,Postdienste,39726.37,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,,793.1,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483368353,DHL Express (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",-4660.23,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480954726,"Sorane SA Société deRationalisation de l'Energie, succursale",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1034427.41,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,342504138,Wash United gGmbh,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1026580,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,312686708,AVEDIS Social Development Consultan GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,1010000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480780782,Helvetas Schweizer Gesellschaft,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,990000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482272718,BUSINESS IT Fandiño,15.1,Hardware,,,937205
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482272718,BUSINESS IT Fandiño,15.4,SW-Pflege und HW Wartung,,,16649.05
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482272718,BUSINESS IT Fandiño,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,9388.3,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483422945,Geotest AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,957165.3,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,316909373,AFC Consultants International GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,869981.69,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483508672,G+U Job4You GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,703728.75
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483508672,G+U Job4You GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,69655.8,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483508672,G+U Job4You GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,61341.3,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,318833399,"Consortium GFA Consulting Group GmbH, Swisscontact and",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,800000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,609635.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,,,159516
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480041532,Uniplan Switzerland AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,749124,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482894953,Federal Express Europe Inc.,14.1,Postdienste,727201.2,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482894953,Federal Express Europe Inc.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",-7691.05,21187.4,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482894953,Federal Express Europe Inc.,6.1,"Transportdienstleistungen, Güter und Waren",402.35,208.95,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482894953,Federal Express Europe Inc.,14.2,Diplomatischer Kurier,44.15,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482894953,Federal Express Europe Inc.,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,19.9,,
