dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 DEZA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,12650000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480301808,Skat Consulting,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,11989953.04,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",3827797.49,3717064.17,175143.15
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1208692.2,3691.5,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,167703.99,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,19.4,"Zivile Bauten, Betrieb Immobilien",74895,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,46498.28,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",9848.95,2754,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482207235,AirPlus International AG,14.1,Postdienste,,1718.4,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480779271,TC TEAM CONSULT SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,7151000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,484335864,KEK - CDC AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,7037201.71,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,5849509.08,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,5751900,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,3266851.99,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483156464,Hochdorf Swiss Milk AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,2260605.6,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480780782,Helvetas Swiss Intercooperation,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,3754259.71,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480780782,Helvetas Swiss Intercooperation,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,1662160.01,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480199694,Nüssli (Schweiz) AG Gerüste,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,2417174.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,354635682,Ramboll Natura AB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,2364451,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,312335412,Niras A/S,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1880000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,317380939,Consortium GOPA Consultants and ECO,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1655000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,484701461,Terra Consult Grossmann René,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1374747.17,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480486310,Swisscontact,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,870454.51,
