dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,NB
EDI,Eidgenössisches Departement des Innern,2012,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,7940250.45,,,
EDI,Eidgenössisches Departement des Innern,2012,481143691,Link Marketing Services AG,14.1,Postdienste,,,,,,,42.85,,,
EDI,Eidgenössisches Departement des Innern,2012,488131277,Manpower SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,3614231.85,,,,
EDI,Eidgenössisches Departement des Innern,2012,488131277,Manpower SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,284283.05
EDI,Eidgenössisches Departement des Innern,2012,488131277,Manpower SA,9.1,"Bundespublikationen, Drucksachen",,,,,,162,,,,
EDI,Eidgenössisches Departement des Innern,2012,488131277,Manpower SA,14.1,Postdienste,,,,,,27.35,,,,
EDI,Eidgenössisches Departement des Innern,2012,481363729,MIS Trend SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,288972,1890882.35,,,
EDI,Eidgenössisches Departement des Innern,2012,481363729,MIS Trend SA,18.4,Informationsarbeit,,,,,,20394,,,,
EDI,Eidgenössisches Departement des Innern,2012,481363729,MIS Trend SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,4358,,,,
EDI,Eidgenössisches Departement des Innern,2012,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,19.4,"Zivile Bauten, Betrieb Immobilien",,,,2077193.95,,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,4.2,Maschinen und Apparate,,,,5032.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,3318.65
EDI,Eidgenössisches Departement des Innern,2012,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,717.4,,,,,,165.25
EDI,Eidgenössisches Departement des Innern,2012,480193374,Demoscope Research & Marketing,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1930287.05,,,
EDI,Eidgenössisches Departement des Innern,2012,480193374,Demoscope Research & Marketing,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,82296,,
EDI,Eidgenössisches Departement des Innern,2012,482340312,Wirz Werbung AG(ZKB),18.4,Informationsarbeit,,,,,,1281947.5,,,,
EDI,Eidgenössisches Departement des Innern,2012,482340312,Wirz Werbung AG(ZKB),18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,619601.25,,,,
EDI,Eidgenössisches Departement des Innern,2012,481088086,Kelly Services (Suisse) SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1872931.45,,,
EDI,Eidgenössisches Departement des Innern,2012,482832115,La Poste Suisse Réseau postal et vente,14.1,Postdienste,,,,,3637.3,,1679590.5,,,
EDI,Eidgenössisches Departement des Innern,2012,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1024926.2,,,,
EDI,Eidgenössisches Departement des Innern,2012,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.4,Informationsarbeit,,,,,,615124.9,,,,
EDI,Eidgenössisches Departement des Innern,2012,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,3800,,,,
EDI,Eidgenössisches Departement des Innern,2012,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,9.1,"Bundespublikationen, Drucksachen",,,,,,8,,,,
EDI,Eidgenössisches Departement des Innern,2012,480193184,Gfk Switzerland AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1576188.45,,,7668
EDI,Eidgenössisches Departement des Innern,2012,480193184,Gfk Switzerland AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,49572,,
EDI,Eidgenössisches Departement des Innern,2012,480193184,Gfk Switzerland AG,9.1,"Bundespublikationen, Drucksachen",,,,,,,605.8,,,
EDI,Eidgenössisches Departement des Innern,2012,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1486049.15,,,,
EDI,Eidgenössisches Departement des Innern,2012,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,99996.5,,,,
EDI,Eidgenössisches Departement des Innern,2012,488547563,Nitrochemie Wimmis AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,,,,,,989945.85
EDI,Eidgenössisches Departement des Innern,2012,488547563,Nitrochemie Wimmis AG,18.5,Sprach- und Übersetzungsdienstleistungen,,,519925.95,,,,,,,
EDI,Eidgenössisches Departement des Innern,2012,488547563,Nitrochemie Wimmis AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,3980.9
EDI,Eidgenössisches Departement des Innern,2012,317802882,Selex Sistemi Integrati GmbH,4.2,Maschinen und Apparate,,,,,1219148.75,,,,,
EDI,Eidgenössisches Departement des Innern,2012,317802882,Selex Sistemi Integrati GmbH,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,256816.88,,,,,
EDI,Eidgenössisches Departement des Innern,2012,317802882,Selex Sistemi Integrati GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,2500,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",23842.4,5170.4,24070.45,103598.45,194148.2,261017.3,309083.5,188944.5,193417.65,53595.8
EDI,Eidgenössisches Departement des Innern,2012,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,1055.6,,22339.8,,,1740,,
EDI,Eidgenössisches Departement des Innern,2012,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,2749.75,10624,,,
EDI,Eidgenössisches Departement des Innern,2012,480683648,Schweizerische Bundesbahnen SBB,15.3,Telekommunikation,,,,,1204.4,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480683648,Schweizerische Bundesbahnen SBB,19.3,"Zivile Bauten, Miete",,,,,642.6,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480676931,EURAD AG,18.4,Informationsarbeit,,,,,,899999.95,,,,
EDI,Eidgenössisches Departement des Innern,2012,480676931,EURAD AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,400000,,,,
EDI,Eidgenössisches Departement des Innern,2012,480021380,AXAS AG Unternehmensberatung + Informatik,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,1098554.15,,,
EDI,Eidgenössisches Departement des Innern,2012,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,1012994.09,,,,,
EDI,Eidgenössisches Departement des Innern,2012,487858045,Ors Service AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,988200,,,,
EDI,Eidgenössisches Departement des Innern,2012,480498104,Meteolabor AG,4.2,Maschinen und Apparate,,,,,912737.25,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480498104,Meteolabor AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,36876.6,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480498104,Meteolabor AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,10000,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480498104,Meteolabor AG,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R2)",,,,,183.6,,,,,
EDI,Eidgenössisches Departement des Innern,2012,482020240,"IBSF Institut für Begleit- und Sozialforschung, Dr. Max Müll",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,920304,,,,
EDI,Eidgenössisches Departement des Innern,2012,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",47270,9667.94,9300.25,20149.65,67820.65,202331.29,66730.77,114797.52,305660.69,9077.47
EDI,Eidgenössisches Departement des Innern,2012,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,3144.4,,,1363.22,,,
EDI,Eidgenössisches Departement des Innern,2012,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1811.15,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),15.4,SW-Pflege und HW Wartung,,,,,320853.95,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,258900.65,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),15.3,Telekommunikation,,,,,190689,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),19.4,"Zivile Bauten, Betrieb Immobilien",,,,,61600.85,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,2980,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),6.1,"Transportdienstleistungen, Güter und Waren",,,,,1619.45,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,720,,
