dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,BVET,IVI,NB
EDI,Eidgenössisches Departement des Innern,2013,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,3171455.4,,,,1892723,,
EDI,Eidgenössisches Departement des Innern,2013,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,34426.9,,,,3793346.3,,
EDI,Eidgenössisches Departement des Innern,2013,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,47404,,,,22090,,
EDI,Eidgenössisches Departement des Innern,2013,488909037,"Universität Bern, Verwaltung Verwaltung Forschungs-",19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,,,10000,,
EDI,Eidgenössisches Departement des Innern,2013,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,6774052.25,37260,,,,
EDI,Eidgenössisches Departement des Innern,2013,485765205,Wilhelm Kaderselektion AG Bern,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,3791632.15,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,485765205,Wilhelm Kaderselektion AG Bern,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,7084.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,2114059.7,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.4,Informationsarbeit,,,,,,402663.9,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,13142,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,4.2,Maschinen und Apparate,,,,,,3795,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484295670,Hospices cantonaux / CHUV Centre Hospitalier universitaire v,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,700,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,486234347,Schweizerische Gesundheits- stiftung RADIX,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,2392439,,128270,,,,
EDI,Eidgenössisches Departement des Innern,2013,486234347,Schweizerische Gesundheits- stiftung RADIX,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,1396,,,,
EDI,Eidgenössisches Departement des Innern,2013,482832115,La Poste Suisse Réseau postal et vente,14.1,Postdienste,,,,,6570.17,,2206398.55,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482832115,La Poste Suisse Réseau postal et vente,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,,,2.1
EDI,Eidgenössisches Departement des Innern,2013,481363729,MIS Trend SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,2051136.7,,,,,
EDI,Eidgenössisches Departement des Innern,2013,481363729,MIS Trend SA,18.4,Informationsarbeit,,,,,,138808,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480193374,Demoscope Research & Marketing,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,2150752.15,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480193374,Demoscope Research & Marketing,18.4,Informationsarbeit,,,,,,36060,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480676931,EURAD AG,18.4,Informationsarbeit,,,,,,2131056,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,19.4,"Zivile Bauten, Betrieb Immobilien",,,,2063589.3,,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480994557,ISS Facility Services AG Gebäudeunterhalt und -reinigung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,,,1955.3
EDI,Eidgenössisches Departement des Innern,2013,482770088,"Krieg, Schlupp, Bürge/ Springer & Jacoby Werbeagentur AG",18.4,Informationsarbeit,,,,,,2030000,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482842911,Bedag Informatik AG,15.2,Software inkl. Lizenzen,,,,,,,,,,1295510.15,,
EDI,Eidgenössisches Departement des Innern,2013,482842911,Bedag Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,105620.6,,,,257313.45,,
EDI,Eidgenössisches Departement des Innern,2013,482842911,Bedag Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,149500.9,77395.85,,,23393.15,,
EDI,Eidgenössisches Departement des Innern,2013,482842911,Bedag Informatik AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,18370.05,,,,14863.5,,
EDI,Eidgenössisches Departement des Innern,2013,481843717,Spillmann / Felser / Leo Burnett AG Werbeagentur,18.4,Informationsarbeit,,,,,,1882143.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482752065,"Universität Zürich, Kasse Finanzabteilung",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1156827.2,73433,,,158000,,
EDI,Eidgenössisches Departement des Innern,2013,482752065,"Universität Zürich, Kasse Finanzabteilung",4.2,Maschinen und Apparate,,,,,,,,,,40000,,
EDI,Eidgenössisches Departement des Innern,2013,482752065,"Universität Zürich, Kasse Finanzabteilung",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,2072.4,,,,,,3500
EDI,Eidgenössisches Departement des Innern,2013,482752065,"Universität Zürich, Kasse Finanzabteilung",6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,2250,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482752065,"Universität Zürich, Kasse Finanzabteilung",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,1700,,,,,,
