dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EFD,EFV,ZAS,swissmint,ESTV,EZV,BIT,EFK,EPA,BBL,SIF
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,,,,,,32804,47790053.89,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,15.1,Hardware,,,,,,,,,,3198378.39,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,79897.95,,,,,,843439.3,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,,,,,,,,,748610.71,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,19.3,"Zivile Bauten, Miete",,,,,,244097,,,,13771.5,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,224565.45,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,,,139843.85,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,43860.35,,,,50486.75,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,19.1,"Zivile Bauten, Honorare ohne weitere Bauleistungen",,,,,,22781.7,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,2641.6,
EFD, Eidgenössisches Finanzdepartement,2011,480014468,Swisscom (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,735.47,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,15.3,Telekommunikation,,,,,,13849004.85,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,3371036.46,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,4.2,Maschinen und Apparate,,,,,,1597702.49,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,,1388072.02,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,,,,,,119830.95,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,2730,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,483248357,Atos AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,-0.01,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,481911931,Gross Generalunternehmung AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,16336608,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,150397.05,,,8411844.1,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,15.1,Hardware,,,,,,,2124597.29,,,5054650.85,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,95467.9,,,,,,342965.85,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,94881.4,,,,,,,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,,,37953.6,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,22516.6,,,,
EFD, Eidgenössisches Finanzdepartement,2011,480008192,IBM (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,-0.01,,,,
EFD, Eidgenössisches Finanzdepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,8368.5,303203.24,6371.42,183025.65,2013895.45,4939328.55,61796.25,16574.75,326246.75,7788763.69,1624.3
EFD, Eidgenössisches Finanzdepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,38590.25,
EFD, Eidgenössisches Finanzdepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,15.4,SW-Pflege und HW Wartung,,,,,,,5375.8,,,,
EFD, Eidgenössisches Finanzdepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,99.85,,,,
EFD, Eidgenössisches Finanzdepartement,2011,989276399,Microsoft Ireland Operations Ltd.,15.4,SW-Pflege und HW Wartung,,,,,,,,,,13777301.68,
EFD, Eidgenössisches Finanzdepartement,2011,989276399,Microsoft Ireland Operations Ltd.,15.2,Software inkl. Lizenzen,,,,,,,,,,1165087.21,
EFD, Eidgenössisches Finanzdepartement,2011,989276399,Microsoft Ireland Operations Ltd.,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,,,,,,,4139.69,,,,
EFD, Eidgenössisches Finanzdepartement,2011,989276399,Microsoft Ireland Operations Ltd.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,14,,,,
