dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EFD,EFV,ZAS,swissmint,ESTV,EZV,BIT,EFK,EPA,BBL,SIF,ISB
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,,,,,,294.75,46367683.63,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,15.1,Hardware,,,,,,,-504733.6,,,3170285.24,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,1198659.65,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,,,,,,,,,796707.95,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,244651.45,,,9555.9,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,19.1,"Zivile Bauten, Honorare ohne weitere Bauleistungen",,,,,,222931.78,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,38725.67,,,,12042.5,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,,,38791.35,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,19.3,"Zivile Bauten, Miete",,,,,,,,,,15033.6,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,9001.1,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",220,,,,,340.8,3334.2,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,16.2,Führungs- und Informatiksysteme,,,,,,2592,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,,793.8,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,480014468,Swisscom (Schweiz) AG,14.1,Postdienste,,,3.05,,,,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,483248357,Atos AG,16.2,Führungs- und Informatiksysteme,,,,,,21131930.78,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,483248357,Atos AG,4.2,Maschinen und Apparate,,,,,,10126639.72,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,483248357,Atos AG,15.3,Telekommunikation,,,,,,4644413.45,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,,,,,,534919.94,,,,,,
EFD,Eidgenössisches Finanzdepartement,2012,481911931,Gross Generalunternehmung AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,35158360,,
