dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EFD,EFV,ZAS,swissmint,ESTV,EZV,BIT,EFK,EPA,BBL,SIF,ISB
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,,,,,,65.6,44560262.43,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,15.1,Hardware,,,,,,,686626.75,,,1638221.6,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,879540.35,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,19.3,"Zivile Bauten, Miete",,,,,,221232.9,,,,15033.6,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,229164.1,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,,,,,,,,,155368.75,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,40765.05,,,,59293.99,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,,,65542.4,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,16.2,Führungs- und Informatiksysteme,,,,,,14988.57,,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,480014468,Swisscom (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,492.98,1732,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,487835035,Pensionskasse Novartis 1 c/o Novartis AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,25210000,,
EFD,Eidgenössisches Finanzdepartement,2013,482783446,SoftwareONE AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,12830211.43,,
EFD,Eidgenössisches Finanzdepartement,2013,482783446,SoftwareONE AG,15.2,Software inkl. Lizenzen,,,2904.5,,,30092.35,2173.9,,,10923732.16,,
EFD,Eidgenössisches Finanzdepartement,2013,482783446,SoftwareONE AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,56928.6,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,482783446,SoftwareONE AG,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,,,,,,,,,38360.66,,
EFD,Eidgenössisches Finanzdepartement,2013,482783446,SoftwareONE AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,709.05,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,7828.4,268613.05,4516.25,204636.55,2062334.45,4981838.16,13245.8,16195.75,330513.1,9434592.15,2350.1,
EFD,Eidgenössisches Finanzdepartement,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,12.09,39605.65,,30.2,,,
EFD,Eidgenössisches Finanzdepartement,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,15.4,SW-Pflege und HW Wartung,,,,,,,4328.3,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,6.1,"Transportdienstleistungen, Güter und Waren",,,,,,3765.3,,,,,,
EFD,Eidgenössisches Finanzdepartement,2013,481911931,Gross Generalunternehmung AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,,,,15345560,,
EFD,Eidgenössisches Finanzdepartement,2013,481911931,Gross Generalunternehmung AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,,,401503,,
