dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,1,Nahrungsmittel und Getränke,,,,,,,1733275.20
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,6085.60
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,15.4,SW-Pflege und HW Wartung,,,,,,,149530.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,714130.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,19.3,"Zivile Bauten, Miete",,,,,,,1143028.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,850896.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488919820,Asyl-Organisation Zürich,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,8342029.60
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487858045,Ors Service AG,1,Nahrungsmittel und Getränke,,,,,,,614993.20
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487858045,Ors Service AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,1422.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487858045,Ors Service AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,26352.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487858045,Ors Service AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,490.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487858045,Ors Service AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,10710720.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482789724,AdNovum Informatik AG,15.2,Software inkl. Lizenzen,31806.25,,,,,,253529.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482789724,AdNovum Informatik AG,15.4,SW-Pflege und HW Wartung,938125,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482789724,AdNovum Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,550226,,2158577.5,,,,6596652.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,1,Angaben zum Kreditor vertraulich,15.2,Software inkl. Lizenzen,7970400,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,1,Angaben zum Kreditor vertraulich,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,35678.88,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",22927.64,7333.8,2585.84,180138.54,433012.35,12847.45,6393959.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,4193.65,,,935.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,483132937,abacon sicherheitsdienstleistungen,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,5608093.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488220237,Securitas AG Schweizerische Bewachungsgesellscha,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,5377638.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487313918,Securitas AG Schweizerische Bewachungsges.,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,4193592.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,487313918,Securitas AG Schweizerische Bewachungsges.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,4800.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488129313,Securitas SA,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,3011107.50
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488129313,Securitas SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,811747.40
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,486579894,Sitasys AG,15.1,Hardware,,,,,,,82707.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,486579894,Sitasys AG,15.4,SW-Pflege und HW Wartung,1736811.95,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,486579894,Sitasys AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,996733.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,486579894,Sitasys AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,915289.2,,5039.30
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",49772.75,23101.9,17946.45,106248.7,720802.8,14752.6,2705775.55
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480683648,Schweizerische Bundesbahnen SBB,14.1,Postdienste,,,,931.5,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,13493.15,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",18.9,,84.6,1400.3,6924.55,,2401.10
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488830951,Securitas SA Société Suisse de surveillance,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,2747487.85
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488830951,Securitas SA Société Suisse de surveillance,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,125.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480847557,Die Schweizerische Post Rechnungswesen Zentrale Dienste,3.1,Brennstoffe,,,,,,,7409.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480847557,Die Schweizerische Post Rechnungswesen Zentrale Dienste,14.1,Postdienste,35890.1,,15321.25,2215950.75,4248.55,76.05,8961.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,480847557,Die Schweizerische Post Rechnungswesen Zentrale Dienste,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,52.75,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482973315,PSP Group Services AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,,,1645401.60
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482973315,PSP Group Services AG,19.3,"Zivile Bauten, Miete",,,,,,,635561.90
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,482973315,PSP Group Services AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,244.10
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,483248357,Atos AG,15.1,Hardware,12871.8,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,483248357,Atos AG,15.2,Software inkl. Lizenzen,184700,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,1914096.24,,,,4442.4,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,483248357,Atos AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,23990,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488979121,Schweizerische Flüchtlingshilfe,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,3530.00
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2014,488979121,Schweizerische Flüchtlingshilfe,18.4,Informationsarbeit,,,,,,,100000.00
