dept,fullDept,2011,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480138163,ARGE Cityring c/o Anliker AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,78163325.42,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481642341,Leonhard Weiss Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,62383996.56,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485502327,ARGE Pizol Sarganserland c/o Toldo AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,54612251.2,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485311211,JPF Construction SA menuiserie-charpente,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,52347251.18,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,484588715,NSNW AG,4.2,Maschinen und Apparate,,,,,,,71542.73,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,484588715,NSNW AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,21671.15,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,484588715,NSNW AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,44258483.38,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480405380,Frutiger AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,42363018.44,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485456370,ARGE Argovia T c/o Cellere AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,27194206.32,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485597749,ARGE Felsenau p/A Implenia Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,26803030.65,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,4868339730,Consorzio Galleria Roveredo c/o CSC Impresa Costruzioni SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,24080248.25,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480003177,Gebrüder Brun AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,22448367.65,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,483473182,Astrada AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,22161357.15,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480057413,Mancini & Marti SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,18724842.53,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480118392,Consortium U-ROM p/o Grisoni Zaugg SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,16859784.91,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480649862,H. Wellauer AG Strassen- u. Tiefbauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,16355307.21,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,484922427,Implenia Construction SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,16074880,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480693761,Bertschinger Walo AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,14957164.44,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,488460924,ARGE N3/68 c/o Hagedorn AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,14403671.66,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,483432209,Interalp Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,13679721.61,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481977148,PORR SUISSE AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,13139017.2,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485127679,ARGE Los C7 c/o Walo Bertschinger AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,13050478.25,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480008804,"Rothpletz, Lienhard+Cie AG",21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,10547424.68,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,485466259,Consorzio Lotto 7p-21 c/o Officine Ghidoni SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,10436736.95,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482525797,ARGE N2 Kunstbauten Uri c/o Gebr. Brun AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,9750298,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,487914293,Implenia Schweiz AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,9359966.49,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,484811419,Baumeler Leitungsbau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,8899534.59,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480396477,Züblin-Strabag AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,8501873.36,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481935369,Quadri Robert SA entreprise de construction,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,8373792.5,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480849421,Emch + Berger AG Bern,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",148916.6,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480849421,Emch + Berger AG Bern,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,114359.05,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480849421,Emch + Berger AG Bern,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,6561736.2,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481410777,ARGE Bernasconi F. et Cie SA / Bertschinger Walo SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,6654179.49,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,483255626,MARTI TUNNELBAU AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,6056599.95,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482235702,Amberg Ingenieurbüro AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,16953.8,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482235702,Amberg Ingenieurbüro AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5787191.76,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,84788.21,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,9178.5,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,5194017.35,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,2.1,Textilien,,,,22.6,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,2.2,Bekleidung,,,,1786.1,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",,,,196419,,6781.7,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",251289.75,80034.25,56122,131460,590792.5,189718.05,395452.4,226716.82
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,9.1,"Bundespublikationen, Drucksachen",,,,874.8,,,,252.9
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,36107.5,,,42075.1,,,91.8,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,18.5,Sprach- und Übersetzungsdienstleistungen,,,,27760.5,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,2412529.65,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",346022,,4266,109010.8,217.95,19498,278.85,173.65
