dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480138163,ARGE Cityring c/o Anliker AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,81089913.03,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480138163,ARGE Cityring c/o Anliker AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,-8212.48,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485502327,ARGE Pizol Sarganserland c/o Toldo AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,69871591.69,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485502327,ARGE Pizol Sarganserland c/o Toldo AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,-53954.1,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480405380,Frutiger AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,48936458.69,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480405380,Frutiger AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,5600,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484588715,NSNW AG,4.2,Maschinen und Apparate,,,,,,,22158.65,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484588715,NSNW AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,3821.65,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484588715,NSNW AG,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,1846979.6,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484588715,NSNW AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,41109907.89,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,486833973,Consorzio Galleria Roveredo c/o CSC Impresa Costruzioni SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,23328700.25,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,483473182,Astrada AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,23289077.95,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485456370,ARGE Argovia T c/o Cellere AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,19928747.43,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485597749,ARGE Felsenau p/A Implenia Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,18308959.45,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484922427,Implenia Construction SA,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,240919.9,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484922427,Implenia Construction SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,16598959.94,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480928084,Consorzio Edilstrada SA + Spalu SA c/o Edilstrada SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,16335163.99,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481642341,Leonhard Weiss Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,15733008.82,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480977776,Walo Bertschinger SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,15024432.52,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480693761,Bertschinger Walo AG Bauunternehmung,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,733.6,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480693761,Bertschinger Walo AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,14821462.3,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480301886,S. Facchinetti SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,14508363.59,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485311211,JPF Construction SA menuiserie-charpente,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,13929663.71,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,483255626,MARTI TUNNELBAU AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,11640689.94,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480649862,H. Wellauer AG Strassen- u. Tiefbauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,11632946.65,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480003177,Gebrüder Brun AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,11308647.34,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,483432209,Interalp Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,10759046.75,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480057413,Mancini & Marti SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,10427986.79,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480008804,"Rothpletz, Lienhard+Cie AG",21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,9765379.5,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481977148,PORR SUISSE AG Bauunternehmung,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,205350.15,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481977148,PORR SUISSE AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,9460289.79,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,15.4,SW-Pflege und HW Wartung,,,,,10454,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,62791.2,,,,,,81207.9,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,9066195.16,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484811419,Baumeler Leitungsbau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,7556347.3,,,
