dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480138163,Arge BRZ c/o Anliker AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,50074795.95,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480301886,AFAMA UPlaNS TP3 / Lot 1 p.a. S.Facchinetti SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,49361747.56,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484588715,NSNW AG,4.2,Maschinen und Apparate,,,,,,,2844.35,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484588715,NSNW AG,15.2,Software inkl. Lizenzen,,,,,,,10809.45,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484588715,NSNW AG,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,2597.95,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484588715,NSNW AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,45998961.57,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484922427,Implenia Construction SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,44044516.46,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,487914293,Implenia Schweiz AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,34552305.98,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,486833973,CSC Impresa Costruzioni SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,26281224.4,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480003177,ARGE HÄWI c/o Gebr. Brun AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,19788039.98,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,485502327,ARGE Pizol Sarganserland,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,17361841.9,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,485311211,JPF Construction SA menuiserie-charpente,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,15548222.5,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480057413,Consorzio Vigana c/o Mancini & Marti SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,15337024.75,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,481002129,Consortium WRZ A9 Murs 2013 p.a.André Repond SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,12714607.95,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480928084,Edilstrada SA pavimentazioni stradali,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,12473111.55,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,483432209,ARGE SBT Schallbergtunnel c/o Interalp Bau AG - Frutiger AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,12067379.86,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480396477,Züblin-Strabag AG Bauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,12019994.35,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,485562107,Colas Suisse SA Succursale de Crissier,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,11213481.41,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,480977776,Walo Bertschinger SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,11128859.05,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2013,484696500,Implenia Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,10409577.92,,,
