dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Rüstung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,485582589,RUAG Schweiz AG RUAG Aviation,0,Non disponible,,159000,485927000,4884000,4000,,,320000,27889000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480213412,Mowag GmbH A General Dynamics Company,0,Non disponible,,,148074000,,,,,484000,8161000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480412043,RUAG Land Systems AG Warhead Division wurde von,0,Non disponible,,,65633000,,3000,,,901000,32488000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480411870,RUAG Electronics AG,0,Non disponible,,,19188000,,,,1388000,,49446000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,485584648,Siemens IT Solutions and Services AG,0,Non disponible,,,28097000,,,,35233000,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481935765,Air Total (Suisse) SA,0,Non disponible,,,,,,,,,62839000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480024384,Thales-Amper-Rheinmetall-Consortium (TARC),0,Non disponible,,,56381000,,40000,,,,11000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,0,Non disponible,45000,,3360000,1165000,,,,,34975000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,315619072,Iveco-Magirus AG,0,Non disponible,,,31048000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480014468,Swisscom (Schweiz) AG,0,Non disponible,,1184000,5680000,19714000,1000,24000,1605000,,2055000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,562038349,Kongsberg Defence & Aerospace SA,0,Non disponible,,,27671000,,,,,,22000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,482386989,RUAG Ammotec AG,0,Non disponible,,21000,27065000,,2000,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481020550,Pilatus Aircraft Ltd.,0,Non disponible,,,25402000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,484550389,AMAG Automobil- und Motoren AG Teile und Zubehör,0,Non disponible,,4371000,9072000,,,,,47000,5617000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480697783,Novo Business Consultants AG,0,Non disponible,,683000,15393000,,,,,,2591000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,315871020,Rheinmetall Defence Electronics GmbH,0,Non disponible,,,18013000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,483923962,Saab Bofors Dynamics Schweiz AG,0,Non disponible,,,17041000,,17000,,,,189000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480007426,Alcatel-Lucent Schweiz AG,0,Non disponible,,205000,13468000,975000,,,,,1990000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,333622715,Rheinmetall Waffe Munition GmbH,0,Non disponible,,,16500000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481234156,Implenia Generalunternehmung AG,0,Non disponible,,,,13976000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480628601,Mercedes-Benz Schweiz AG ein Unternehmen der Daymler AG,0,Non disponible,,177000,12262000,,,,,,234000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481833460,Saltech AG,0,Non disponible,,,12182000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480138163,ARGE Cityring c/o Anliker AG,0,Non disponible,,,,10636000,,,,,1000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,483483855,RWM Schweiz AG,0,Non disponible,,2000,10558000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480008622,Pneu Egger AG Aarau Gesamtleitung,0,Non disponible,3000,,,,,,,4000,9623000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,487914293,Implenia Construzione SA,0,Non disponible,,,,9294000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480070192,Roschi Rohde & Schwarz AG Elektronische Messtechnik,0,Non disponible,,1722000,7075000,,163000,,2000,,3000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,488858598,Itelligence AG Unternehmensberatung,0,Non disponible,,785000,3720000,157000,,,,,4044000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480328939,Minerva Manuf. de Chaussures SA,0,Non disponible,,,8662000,,,,,,6000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480284384,RUAG Holding,0,Non disponible,,,8614000,,,,,,44000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480652494,Crypto AG,0,Non disponible,,872000,7540000,,,,,,1000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480399625,Lanz & Marti AG Fahrzeugbau Carrosseriewerk,0,Non disponible,,,7874000,,,,,3000,242000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,482780012,Löwen Garage AG Bern,0,Non disponible,,617000,7290000,,,,,32000,134000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,49973027,Thales-Raytheon Systems Company LLC Command & Control System,0,Non disponible,,,8057000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480130335,Linde Lansing Fördertechnik AG,0,Non disponible,,,7989000,,,,,,51000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481660400,Swisscom Broadcast AG,0,Non disponible,,848000,,6591000,,,7000,,59000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,488547563,Nitrochemie Wimmis AG,0,Non disponible,,,7363000,,15000,,32000,19000,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480232263,Elca Informatique SA,0,Non disponible,,,7058000,,,,,,199000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,480936165,Global IT AG,0,Non disponible,1253000,7000,3751000,,104000,,27000,,2098000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,481189269,Schweiz. Bundesbahnen SBB Cargo AG,0,Non disponible,,254000,,,,,,,6859000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,0,Non disponible,-1301000,-11907000,-1133008000,-67392000,-349000,-24000,-38294000,-1810000,-251871000
