dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,485582589,RUAG Schweiz AG,0,Non disponible,,50141000,4396000,5000,,,1202000,277557000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480411870,RUAG Electronics AG,0,Non disponible,,7000,,,,1035000,,215690000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480213412,Mowag GmbH A General Dynamics Company,0,Non disponible,,248000,,,,,373000,120749000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480412035,RUAG Munition AG,0,Non disponible,,223000,2000,2000,,,258000,64162000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481935765,Air Total (Suisse) SA,0,Non disponible,,,,,,,,57957000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,315619072,Iveco-Magirus AG,0,Non disponible,,2377000,,,,,,46199000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481991560,skyguide Société Anonyme Suisse pour les Services de la Navi,0,Non disponible,45000,,819000,,,,,41891000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,483248357,Atos AG,0,Non disponible,,,,,,,,37968000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480007764,BP (SWITZERLAND) AG,0,Non disponible,,,,,,,,32583000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481833460,Saltech AG Sicherheitssystemen,0,Non disponible,,1439000,,,,,,30871000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480024384,Thales-Amper-Rheinmetall-Consortium (TARC),0,Non disponible,,,,113000,,,,32052000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,482386989,RUAG Ammotec AG,0,Non disponible,,13144000,,1000,,,,17606000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,484502732,Froriep Renggli,0,Non disponible,,27295000,,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,485584648,Siemens IT Solutions and Services AG,0,Non disponible,,,,,,23785000,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481429983,PSA Finance Suisse SA,0,Non disponible,,,,,2000,,,21837000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,484017889,Implenia Bau AG,0,Non disponible,,,18745000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,483923962,Saab Bofors Dynamics Schweiz AG,0,Non disponible,,266000,2000,14000,,,,17333000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480014468,Swisscom (Schweiz) AG,0,Non disponible,128000,15000,7999000,,106000,40000,,8816000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,315871020,Rheinmetall Defence Electronics GmbH,0,Non disponible,,,322000,,,,,15131000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,484550389,AMAG Automobil- und Motoren AG Teile und Zubehör,0,Non disponible,,3376000,,,1000,,26000,11961000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481234156,Implenia Generalunternehmung AG,0,Non disponible,,,14627000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480007426,Alcatel-Lucent Schweiz AG,0,Non disponible,,2108000,1471000,,,,,9797000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,332610646,Schuberth GmbH,0,Non disponible,,4280000,,,,,,9068000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481007339,Key Equipment Finance (Schweiz) AG,0,Non disponible,,,,,,,,12606000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,562038349,Kongsberg Defence & Aerospace SA,0,Non disponible,,,,,,,,12162000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481660400,Swisscom Broadcast AG,0,Non disponible,,1449000,9274000,,,11000,,48000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,488858598,Itelligence AG Unternehmensberatung,0,Non disponible,,397000,123000,,,,,9803000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480515378,STRABAG AG,0,Non disponible,,,9962000,,,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480697783,Novo Business Consultants AG,0,Non disponible,,562000,,,,,,9395000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481390052,Pfäffli H.R. AG Techn. Lederwaren,0,Non disponible,,2000,,,,,,9532000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,333622715,Rheinmetall Waffe Munition GmbH,0,Non disponible,,4598000,,,,,,4598000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,481553381,Avesco AG Baumaschinen und -geräte,0,Non disponible,,588000,241000,,,,,7582000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,480628601,Mercedes-Benz Schweiz AG ein Unternehmen der Daymler AG,0,Non disponible,,75000,,,,,,8050000
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,600583389,ELTA Electronics Industr. Ltd. Subsidiary of IAI Ltd.,0,Non disponible,,,,,,,,7878000
