dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480008192,IBM (Schweiz) AG,15.4,SW-Pflege und HW Wartung,8684419.54,,45418.43,,,,,,,,13294.8,152960.1,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,4131282.57,,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480008192,IBM (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,54690.1,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480008192,IBM (Schweiz) AG,15.2,Software inkl. Lizenzen,,2843.1,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480634620,Tierverkehrsdatenbank AG Indentitas AG,15.4,SW-Pflege und HW Wartung,,9579733.45,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480634620,Tierverkehrsdatenbank AG Indentitas AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,63652.55,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480634620,Tierverkehrsdatenbank AG Indentitas AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,683.4,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480634620,Tierverkehrsdatenbank AG Indentitas AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,133,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,6510000,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,15.4,SW-Pflege und HW Wartung,,55139,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,400,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,350,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,,,62.6,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480071380,Proviande,5,Medizinische Produkte und Pharmabereich,,,31.3,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482025678,AREVA T&D AG Mittelspannungstechnik,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,4852831.46,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007871,Siemens Schweiz AG Building Technologies,4.2,Maschinen und Apparate,,,,,,,,,,,4377747.37,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007871,Siemens Schweiz AG Building Technologies,15.1,Hardware,,,1158.15,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007871,Siemens Schweiz AG Building Technologies,5,Medizinische Produkte und Pharmabereich,,,1082.7,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007871,Siemens Schweiz AG Building Technologies,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,468.55,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007871,Siemens Schweiz AG Building Technologies,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,194.4,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480256135,TSM Treuhand GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2749440,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480256135,TSM Treuhand GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,15876,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480256135,TSM Treuhand GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,324,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,4140,488947.9,17397.7,,86352.45,,,,1199456.3,451650.75,,,18912.55
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",48537.75,150460.15,,52911.85,27530.1,,21178.75,19356.65,24487.75,60024.55,,14597.65,48574.95,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,570.6,,,,14828.9,1178.75,,,,,,,76.85
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,15.4,SW-Pflege und HW Wartung,,7533,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,1166.4,74,,,,,,,1020.65,70.2
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,102.8,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,2637320.2,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,486508146,"PLANVAL, Oekonomie-Oekologie- Raumplanung AG",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,340,,,,,,,,,,,,
