dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480008192,IBM (Schweiz) AG,15.4,SW-Pflege und HW Wartung,11829375,,,,,,,,,102145.7,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,670346.14,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480008192,IBM (Schweiz) AG,15.1,Hardware,85050,,,,,,,,,185.55,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480008192,IBM (Schweiz) AG,15.2,Software inkl. Lizenzen,,27627.9,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480071380,Proviande,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,6689499.6,93.9,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480071380,Proviande,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,11700,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480071380,Proviande,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,240,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480071380,Proviande,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,170,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480071380,Proviande,5,Medizinische Produkte und Pharmabereich,,,62.6,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482842585,Euresearch Verein Head Office,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,,5399000
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482842585,Euresearch Verein Head Office,19.3,"Zivile Bauten, Miete",,,,,,,,,,,,29325.6,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482842585,Euresearch Verein Head Office,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,,,,,,200
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",46244.5,209543.3,506690.8,20128.25,24427.7,55668.9,32867.5,1350861.95,503188.65,16141.4,54212.25,17380.35,140896.05
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480683648,Schweizerische Bundesbahnen SBB,15.4,SW-Pflege und HW Wartung,,14725.8,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480683648,Schweizerische Bundesbahnen SBB,14.1,Postdienste,,,6949.9,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,842.4,740.7,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,488091026,CSC Switzerland GmbH Unternehmensberatung,15.2,Software inkl. Lizenzen,,,,,,,,2921964.95,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480256135,TSM Treuhand GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,2558875.6,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480256135,TSM Treuhand GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,340,,,,,,,,,,,
