dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480008192,IBM (Schweiz) AG,15.4,SW-Pflege und HW Wartung,9936588.35,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480008192,IBM (Schweiz) AG,15.1,Hardware,1313630.48,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480008192,IBM (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,277597.25,,,,,,,,5400,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480008192,IBM (Schweiz) AG,15.2,Software inkl. Lizenzen,,10121.75,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480634620,Tierverkehrsdatenbank AG identitas AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,8973088.95,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480634620,Tierverkehrsdatenbank AG identitas AG,15.4,SW-Pflege und HW Wartung,,734883.95,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480634620,Tierverkehrsdatenbank AG identitas AG,18.4,Informationsarbeit,,112.15,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480071380,Proviande,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,6452999.95,31.3,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480071380,Proviande,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,550,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480071380,Proviande,5,Medizinische Produkte und Pharmabereich,,,62.6,,,,,,,,,
