dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,2,Textilien und Bekleidung,24113.15
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,6,Transport-DL und Leistungen der Bundesreisezentrale,214045.49
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger ",6691.7
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,13,Bürobedarf inkl Papier und EDV Verbrauchsmaterial inkl W+R 1) .-.,10800
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,104948.2
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,15,Informatik und Telekommunikationsmittel inkl W+R 1) .,509342.01
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,15.1,Hardware,92530.1
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,15.4,SW-Pflege und HW Wartung,416811.91
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18,Dienstleistungen,5506006.52
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18.1,Allgemeine Beratungs-Dienstleistung,346109.45
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18.2,Informatikdienstleistungen,1633566.38
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18.3,"Betriebswirt. Beratungs-DL (Mgmt.beratung, Org. und Coach.) ",208778.07
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18.4,Öffentlichkeitsarbeit und Kampagnen,2963884.57
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,353668.05
BK,Schweizerische Bundeskanzlei,2011,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",547166.87
