dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,2,Textilien und Bekleidung,33178.5
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,230017.72
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,103124.4
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,15,1)Informatik und Telekommunikationsmittel inkl. W+R,928555.33
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,15.1,Hardware,24813.85
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,15.2,Software inkl. Lizenzen,64461.4
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,15.4,SW-Pflege und HW Wartung,839280.08
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18,Dienstleistungen,6218427.38
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,423784.52
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,994492.65
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,298016.12
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18.4,Informationsarbeit,4043707.04
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,458427.05
BK,Schweizerische Bundeskanzlei,2013,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",257696.4
