dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 EDA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,1,Nahrungsmittel und Getränke,169233.55,17101407.05,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,2,Textilien und Bekleidung,79107.85,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",195012.2,,36644.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,7954071.93,5249792.85,423599.76
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,6.1,"Transportdienstleistungen, Güter und Waren",5406618.91,873686.37,420511.96
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",2547453.02,4376106.48,3087.8
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",367410.13,436066.49,1520
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",363673.41,208001.79,6217.48
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,1729.1,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,20050,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,513848.35,168595.03,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,1308894.08,382099.06,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,,170339.4,5513258.21
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,15.1,Hardware,,,3312763.47
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,15.2,Software inkl. Lizenzen,,17660.9,307797.22
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,15.3,Telekommunikation,,150629.55,363960.97
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,15.4,SW-Pflege und HW Wartung,,2048.95,1528736.55
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,18,Dienstleistungen,15632612.37,57812018.01,9363188.65
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,11451611.84,21196667.41,33824.64
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,259.2,285499.76,9119500.5
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,3202199.08,35943531.53,97916.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,978542.25,386319.31,111947.11
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,19,Zivile Bauten,2316938.12,22330.05,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",2111727.66,9893057.78,19307.83
