dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 DEZA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,1,Nahrungsmittel und Getränke,,14868261.07,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",33661.28,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,5,Medizinische Produkte und Pharmabereich,3607.2,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,8760341.44,6496787.67,322406.41
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,6.1,"Transportdienstleistungen, Güter und Waren",3236563.82,945243.4,104654.75
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",5523777.62,5551544.27,217751.66
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",258211.35,583609.85,1074.05
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",19060.9,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,3351.38,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,7775.45,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,,13918,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,20462.75,194939.95,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,1233952.09,270051.03,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,,182937.75,2993519.75
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,15.1,Hardware,,,925815.85
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,15.2,Software inkl. Lizenzen,,11383.95,352653.6
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,15.3,Telekommunikation,,165474.8,485459.62
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,15.4,SW-Pflege und HW Wartung,,6079,1229590.68
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,18,Dienstleistungen,17806318.64,69146052.41,9236454.16
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,14659043.58,68444849.96,46065.13
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,8934724.26
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,2255013.4,387430.69,174584.2
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,892261.66,313771.76,81080.57
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,19,Zivile Bauten,318974.44,27085.95,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",4671553.3,20316646.5,23405.31
