dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,METAS,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,1,Nahrungsmittel und Getränke,,,,,,,5781.6,5742397.04
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,2,Textilien und Bekleidung,,,,,,,5532.39,880.2
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie ",,,,,,,94471.8,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,4,"Rüstungsgüter, Waffen, Schutz /Verteidigungseinr inkl W+R1) -",,,,,1009101.61,,2723768.38,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,,,,,757382.94
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,6,Transport-DL und Leistungen der Bundesreisezentrale,74035.6,29533.72,1147.9,96587.18,1428767.74,13510.48,162949.67,10275486.81
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl W+R1) ",,,,,176445.49,765,110750.85,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger ",,8196.3,18974.85,,,1339124.48,55092.55,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl W+R1) ",,,,,,,,8677.84
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl W+R1),,,,,,,34627.05,345757.55
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,13,Bürobedarf inkl Papier und EDV .-Verbrauchsmaterialinkl.W+R,,,,,,5950.15,12483.85,1067.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,48274.45,10226.35,38770.7,422494.95,130249.5,9964.42,71054.9,1508342.5
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,15,Informatik und Telekommunikationsmittel inkl W+R1),14085336.91,30641.15,2989073.23,1619653.87,705287.7,114369.23,768857.98,5474069.49
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,15.1,Hardware,1904635.4,15124.6,811.15,,265661.9,72423.78,345210.43,327701.08
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,15.2,Software,7915936.15,15516.55,2929512.48,1619653.87,3284.2,35438.45,287495.25,4790921.76
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,15.3,Telekommunikation,57130.35,,,,,,948.8,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,15.4,SW-Pflege und HW Wartung,4207635.01,,58749.6,,436341.6,6507,135203.5,355446.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,17,"DL, notwendig für Bereitst., Betrieb, Unterhalt der Güter ",1133,,,,914831.89,,4477,125702.17
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18,Dienstleistungen,20932061.52,91438.14,4248985.53,1006733.38,6938018.91,19330.59,814531.98,25429312.36
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18.1,Allgemeine Beratungs-Dienstleistung,,20350.7,5671.1,706061.28,1934484.19,,19497.8,2308691.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18.2,Informatikdienstleistungen,20904899.27,606.95,3741474.84,184653.65,3524428.26,,500216.48,7098870.99
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18.3,"Betriebswirt. Beratungs-DL (Mgmt.beratung, Org. und Coach.) ",27162.25,67640.7,496784.04,,1144118.4,19330.59,202885.43,15432079.77
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18.4,Öffentlichkeitsarbeit und Kampagnen,,,2940.25,,286864.96,,62194,198389.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,,2839.79,2115.3,116018.45,48123.1,,29738.27,391281.15
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,19,Zivile Bauten,8952.87,,,,,17281.75,218539.41,18676750.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,19.4,"Zivile Bauten, Betrieb Immobilien ",8953,,,,,17282,218539.41,18676750.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",3041602.8,60221.55,253799.82,686934.68,1247585.02,208372.57,654719.55,2292018.13
