dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,1,Nahrungsmittel und Getränke,,,,,,,8365925.73
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,2,Textilien und Bekleidung,,,,,35111.55,,91295.2
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",,,,,,,54894.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R1)",,,,,1183563.46,,1310.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,,76267.43,,380844.25
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,65159.88,61940.08,48187.11,285512,1165360.43,21293.5,14373783.3
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R1)",4013.25,,,,214716.62,1096,81524.18
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R1),,,,,24559.5,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",,,,,,,129230.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R1)",,,,,63256.9,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,,,,,272.4,,2684.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R1),,,,12941.85,14330.75,,66388.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R1),,,78.7,,,17281.2,2111.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,57680.15,13263.85,45951.2,2496895.75,132219.5,14955.92,1390708.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R1),6805528.72,28552.6,1364675.56,1249720.3,539798.68,142128.1,2686979.8
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,15.1,Hardware,1396667.98,15742.75,28175,,355109.48,43269.85,201384.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,15.2,Software inkl. Lizenzen,1136244.1,12809.85,1336500.56,1231317.1,161502.65,43809.35,2330643.25
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,15.3,Telekommunikation,9111.55,,,,23186.55,,115415.8
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,15.4,SW-Pflege und HW Wartung,4263505.09,,,18403.2,,55048.9,39536
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",,,,,3003.65,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18,Dienstleistungen,18116291.68,127560.6,6325342.74,2242674.55,6885328.95,130258.86,16250810.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,86174,55165.45,712495.05,678544.06,1512164.64,104387.96,4448886.25
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,17688406.62,1059.9,5580781.39,1198732.75,3714659.18,,8420811.85
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,336707.76,65405.1,6701.6,101879.13,,25870.9,2521314.74
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18.4,Informationsarbeit,,,23864.7,,,,250016.95
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,5003.3,5930.15,1500,263518.61,1658505.13,,609780.66
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,19,Zivile Bauten,4125.1,,,100226.7,579640.7,58120.5,35555967.63
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,19.1,"Zivile Bauten, Honorare ohne weitere Bauleistungen",,,,,,,63142
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,21839.55,17087.8,4088144.67
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,19.3,"Zivile Bauten, Miete",,,,,35273,21000,698039.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,19.4,"Zivile Bauten, Betrieb Immobilien",4125.1,,,100226.7,522528.15,20032.7,30706641.06
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2013,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",160709.67,17685.55,255704.62,235475.05,2597644.63,1476608.67,26187647.51
