dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,1,Nahrungsmittel und Getränke,,,28701,,,21406.65,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,2,Textilien und Bekleidung,,,7209.8,18815.85,,2639.72,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie ",800,,5554.8,,93501.69,,,16734.05
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,4,"Rüstungsgüter, Waffen, Schutz-/Verteidigungseinr inkl W+R 1) .",995808.13,,28806.49,,,109856.85,1479570.26,503495.62
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,4.2,Maschinen und Apparate,995808.13,,28806.49,,,109856.85,1479570.26,503495.62
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,63.7,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,6,Transport-DL und Leistungen der Bundesreisezentrale,1084602.9,102000.85,219762.19,435597.17,1521814.61,335439.36,453341.56,613714.82
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl W+R",28923.57,,98522.04,,862201.15,839.71,129431.4,15407.25
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger ",60888.29,13626.17,21586.6,91892.65,35368.65,104298.36,86074.12,72076.52
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,10,"Büromatik, inkl Präsentationstechnik, Zubehör inkl W+R",,,,,5164.3,367.2,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,12,Büro und Raumausstattung zivile Verwaltung inkl W+R,,,,,,,,187942.8
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,13,Bürobedarf inkl Papier und EDV .-Verbrauchsmaterialinkl.W+R,,,,,18944.8,89.7,,15550.8
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,451705.58,19714.15,142778.6,137713.65,21901,179979.1,325143.5,127014
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,15,Informatik und Telekommunikationsmittel inkl W+R,1121157.66,115432.26,132809.13,171645,497962.24,,16518725.06,604122.28
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,15.1,Hardware,,,15648.4,4325.6,,,91597.8,15777.95
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,15.2,Software,,,37130.75,7538.45,239679,,12198373.94,257644.5
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,15.3,Telekommunikation,,,769.35,,,,,10704.32
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,15.4,SW-Pflege und HW Wartung,1121157.66,115432.26,79260.63,159780.95,258283.24,,4228753.32,319995.51
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,17,"DL, notwendig für Bereitst., Betrieb, Unterhalt der Güter ",924274.31,,4276.8,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,18,Dienstleistungen,24364655.73,2020435.43,2136543.16,3575627.59,3177240.72,25326785.02,20355128.63,1890527.38
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,18.1,Allgemeine Beratungs-Dienstleistung,22458962.49,1766322.27,502516.3,2613390.78,1661007.75,21557695.62,15514634.62,773708.43
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0,Unknown,18.2,Informatikdienstleistungen,778055.4,,1556650.4,527054.85,,389953.56,4288747.48,1051612.9
