dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,1,Nahrungsmittel und Getränke,,,,3212.25,,15056,4044.5,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,2,Textilien und Bekleidung,,,,3287.85,,211,,42.1,12769.4,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",,,,,156918.59,,39204.05,22515.7,4676.3,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R1)",1867964.89,,,,,,796595.35,334201.6,30739.5,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,4.2,Maschinen und Apparate,1867964.89,,,,,,796595.35,334201.6,30739.5,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,,,,,,12644.6,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,1768357.69,84974.77,144753.31,904112.97,1614035.88,511877.59,503596.28,748565.54,43260.25,196283.1
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R1)",19847.55,,,,1061314.93,214,,,14688,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",,,,50882.2,33353.65,24502.95,,21093.13,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R1)",24310.6,,,221.35,1911.82,11713.4,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R1),87599.9,,,62210.1,,,35191.8,5365,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R1),,,,,13991.3,,11389.7,7287.75,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,201359.9,24582.3,50307.65,119694.6,115062.7,193010.9,352272.85,126282.2,41848.9,27774.9
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R1),1909115.28,16366,137324.18,106793.03,107766.73,,22730218.52,125146.85,15422.97,9195.15
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,15.1,Hardware,5184,,113507.68,10188.08,16177.85,,10746.08,14461.9,4022.97,9195.15
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,15.2,Software inkl. Lizenzen,28441.2,,23816.5,2223.4,11093.25,,17453595.17,4745.6,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,15.3,Telekommunikation,,,,,,,,6684.6,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,15.4,SW-Pflege und HW Wartung,1875490.08,16366,,94381.55,80495.63,,5265877.27,99254.75,11400,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,16,IT- und Telko-Mittel für Führungs- und Einsatzsyst der Armee,,,,,,,,149672.77,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2014,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",619792.55,,,,,286.45,212333.35,197640.35,,
