dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Rüstung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,0,Non disponible,0,0,0,0,0,0,0,0,0
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,1,Nahrungsmittel und Getränke,113501.9,86581.2,47468.8,,1402,2959790.89,281951.2,3508.65,13192053.37
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,2,Textilien und Bekleidung,15770.42,15041007.84,58169566.56,,369.7,323894.62,126845.5,,3953219.52
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",109810.85,297.25,2664538.19,,23459,145559.4,453726.02,,71370231.71
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",159827.3,421679.7,257943840.5,154874.9,3158527.46,1987674.09,2134828.91,349,66064187.77
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,5,Medizinische Produkte und Pharmabereich,,81365.8,6244854.33,,1605.33,,516357.79,,6601532.96
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,311383.42,1174388.13,6352.4,,5008.3,4288.8,113098.25,2165.05,22833747.43
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",,14833137.92,515246223.02,383026.05,10658.65,158857.7,58753.35,11270017.8,64100274.87
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R,,219.8,936393.95,243.75,252.2,1332968.68,5861.93,,100130.67
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",187126.58,,242487.1,1080,639,226263.18,58815.91,1438588.14,830973.44
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",120,38646.25,2058170.05,,798.1,393903.82,27375.1,7058.1,8964434.53
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,,,,,,46.45,,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,,11811.5,3854327.89,2997177.6,,1045483.43,18252,1349.8,3232601.92
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,151609.25,,91211.5,548.25,,57098.73,22706.8,4538.1,294377.31
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,317139.85,145503.95,150,,,172684.6,2270153.53,143869.1,2131838.74
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,937506.32,1825275.33,64240894.41,,105193.87,546058.29,1919332.2,33390.04,966883.62
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,15.4,SW-Pflege und HW Wartung,937506.32,1825275.33,64240894.41,,105193.87,546058.29,1919332.2,33390.04,966883.62
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,16,IT- und Telko-Mittel für Führungs- und Einsatzsyst der Armee,2195983.46,4025862.7,335288892.37,,338600.36,112742.09,7752782.82,94247,10625541.43
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,16.1,Aufklärungs- und Auswertesysteme,,2594331.35,82415581.21,,42990.75,,175217.09,,191171.14
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,16.2,Führungs- und Informatiksysteme,2195983.46,1431531.35,90608342.3,,295609.61,112742.09,7577565.73,94247,9752685.89
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,16.3,Ausbildungssysteme (Simulatoren),,,162264968.86,,,,,,681684.4
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",,3072810.18,77459369.23,10800,15833.45,,369378.05,,112087302.4
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18,Dienstleistungen,7431672.35,6248705.59,65742544.01,7973638.06,1483445.22,4073871.7,13453303.74,2912996.05,41263973.36
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,4632476.31,850627.45,8429320.36,3758931.6,49853.25,1500658.41,12517141.05,298683.85,6744290.41
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,2579342.5,2878769.88,52957627.99,601627.61,,1034023.7,116659,807152.7,33906941.45
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2519308.26,4329095.66,3598402.5,1433591.97,306100.85,673409.64,1427296.5,612741.5
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18.4,Informationsarbeit,,,,14676.35,,962816.35,625.85,,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,219853.54,,26500,,,270272.39,145468.2,379863,
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,20,Militärische Bauten,428634.2,628617.37,11213736.58,382895273.3,647641.35,2772083.85,13787698.11,51886.25,74908930.31
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2012,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",4639275.89,1742473.28,6360059.12,105683.26,60111.2,4699320.32,12491836.07,1014283.78,79679847.53
