dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,0,Non disponible,0,0,0,0,0,0,0,0
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,1,Nahrungsmittel und Getränke,41579.35,97289.75,36404.2,1383.85,3878518.62,79594.85,100454.27,12851384.1
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,2,Textilien und Bekleidung,3628.2,13004667.36,,,849391.6,113631.83,1740.75,52051596.81
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",110802.73,1096.15,778.7,,275011.6,129038.49,,106439693.03
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",240547.29,23399054.7,308.9,3051246.54,1291245.08,1298740.97,,474049837.63
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,8307.9,142380.6,912684.85,,8898679.68
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,303407.15,3025801.92,58536.8,2004.1,233684.77,87452,48273.65,23345699.95
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",7743.75,42142615.31,4805.2,,69932.35,17433.2,9529535.69,302216448.09
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R,,,,,22076076.13,11662.85,,1460028.19
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",353521.39,4152.9,1215.4,,326533.25,51427.95,1492318.13,1550310.69
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",,1337.25,,,625518.59,35198.04,9805.05,12959748
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,32915.05,27218.17,1581150.93,,584080.15,16112.2,7201.25,8893821.54
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2013,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,140278.12,5106.25,216,,56885.6,,39290.25,519317.66
