dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,1,Nahrungsmittel und Getränke,4601.4,47036.85,17286,,26467.85,45151,,10279.5,17452.95,7435.05,25746.4,,32134.72,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,2,Textilien und Bekleidung,,,60331.41,,20917.05,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",,,1187567.21,1955.75,47392,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",3419.1,896.4,6516605.34,42561.6,724694.49,,,,,,4491019.42,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,4.2,Maschinen und Apparate,3419.1,896.4,6516605.34,42561.6,724694.49,,,,,,4491019.42,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,3018062.06,51495.55,980270.62,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,157978.55,342172.87,725293.72,147777.55,37969.13,176974.45,21292.25,19731.3,79735.61,1291971.32,2820032.95,17467.55,87517.97,47866.55
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",,,912515.33,,,,,,,,10800,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",79604.69,176753.2,568383.83,85560.17,18651.91,114444.31,12340.3,10675.15,51536.36,51747.35,361510.15,3712.43,33959.3,264.6
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",209.4,,26895.9,9193.85,,,,,,,29580.32,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,11,Kopiertechnik inkl. Wartung und Reparatur,,,1611.31,,,,,,971.7,,63812.1,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,,,121193.69,22561.45,8806.21,,,,,,15940.8,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,4211.8,2556.05,268126.71,63205.33,223029.57,,524.77,8609.74,7631.44,5103.05,27211.32,412,10462.25,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,42287.35,84372.6,440557.14,136687,14123.3,152206.65,11705.5,91597,25993.25,245887.35,308639.75,3498.45,,17095.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,8876419.36,11435811.92,1382897.71,980920.36,79322.65,194374.8,517481.05,6061.57,62665.5,1634304.74,2619528.15,1173631.74,,5663.35
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,15.1,Hardware,15937.81,14549.5,760672.98,3727.05,42037.2,24404.25,219.15,1490.85,17987.8,566902.35,5266.03,405005.75,,1791.85
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,15.2,Software inkl. Lizenzen,27485.3,559196.22,220365.79,690417.76,9274.4,6240.45,13046.4,1913.92,11767.35,1059658.49,,9910.1,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,15.3,Telekommunikation,,,,8126.45,1654.35,,499565.5,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,15.4,SW-Pflege und HW Wartung,8832996.25,10862066.2,401858.94,278649.1,26356.7,163730.1,4650,2656.8,32910.35,7743.9,2614262.12,758715.89,,3871.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",,,70651,,1113.65,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18,Dienstleistungen,5474200.3,15297159.03,4763319.55,2600695.35,145716.15,7328076.09,263346.33,969011.5,97169.91,3091376.55,29821386.52,5378902.77,1379140.25,8503268.68
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,307598.85,7154582.21,3363291.07,1624076.75,107605.05,4399133.08,178478.83,676682.5,27785.7,191618.8,24817633.4,185743.7,1326804.7,3400198.02
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,5045336.22,4204835.41,781584.61,427330.37,6069.6,530589.15,74644.25,228646.85,25788.8,,3726940.05,5084118.02,38390.75,704799.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,109050.63,3615041.79,336561.82,211164.33,32041.5,2169887.96,2715.2,22235.7,38510.41,2851979,792859.39,109041.05,7630,4398271.16
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18.4,Informationsarbeit,,267911.35,57059.06,,,10000,,39923.05,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,12214.6,54788.27,224822.99,338123.9,,218465.9,7508.05,1523.4,5085,47778.75,483953.68,,6314.8,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,19,Zivile Bauten,1621.45,12305.02,582713.59,146768.4,340433.13,,2325.7,14381.85,8370.25,5444.4,13784.91,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",40041.28,688772.53,4179819.97,354618.08,583153.18,979459.77,12786.85,44645.97,14419.1,267710.5,4005429.01,44185.22,28513.25,397134.55
