idSupplier;supplier;supplierDetail
482758612;A eins Personal AG;
483132937;abacon sicherheitsdienstleistungen;
480542682;ABS Betreuungsservice AG;
482451965;Acceleris GmbH;
482015856;Accenture AG;
486356884;ACE Information Technology AG;
472598234;ACE International Consultants;
482073371;ACE Project Services AG;
483663410;AD Solution AG;
483458266;add-it solution AG;
482789724;AdNovum Informatik AG;
985461461;Adobe Systems Software;
364704726;Adria D.D.;
488099565;AEBI & VINCENT ARCHITEKTEN SIA AG;
830731431;Aegis Defence Services;
482453685;AF-Colenco AG;
480301886;AFAMA UPlaNS TP3 / Lot 1 p.a. S.Facchinetti SA;
316909373;AFC Consultants International;
480788533;Agilent Technologies (Schweiz) AG ;
487448672;Agogis;
481935765;Air Total (Suisse) SA;
482207235;AirPlus International AG;
480007426;Alcatel-Lucent Schweiz AG;
485925759;Alliance Sud;
482935140;Allianz Suisse Versicherung;
480796663;Allreal Generalunternehmung AG;
428136576;Alma Mater Studiorum Universita di Bologna;
480007319;Alpiq InTec AG;
484550389;AMAG AG;Automobil- und Motoren AG Teile und Zubehör
482235702;Amberg Ingenieurbüro AG;
1;Vertraulich / Confidentiel;
484789594;Antistatique.net Sàrl;
481838001;APP Unternehmensberatung AG;
482025678;AREVA T&D AG;Mittelspannungstechnik
485456370;Arbeitsgemeinschaft Argovia T;c/o Cellere AG
486884997;Arbeitsgemeinschaft AS Rheinhafen;c/o Implenia Schweiz AG
481410777;Arbeitsgemeinschaft Bernasconi F. et Cie SA / Bertschinger Walo SA;
480138163;Arbeitsgemeinschaft BRZ;c/o Anliker AG
482485047;Arbeitsgemeinschaft Bundeshaus ;Wirz AG Bauunternehmung
485597749;Arbeitsgemeinschaft Felsenau ;p/A Implenia Bau AG
482062994;Arbeitsgemeinschaft Generalplaner SLM Zürich ;c/o Proplaning AG
480003177;Arbeitsgemeinschaft HÄWI ;c/o Gebr. Brun AG
485127679;Arbeitsgemeinschaft Los C7 ;c/o Walo Bertschinger AG
481842552;Arbeitsgemeinschaft Marti Technik/ACP ;c/o Marti Technik AG
482525797;Arbeitsgemeinschaft N2 Kunstbauten Uri ;c/o Gebr. Brun AG
488460924;Arbeitsgemeinschaft N3/68 ;c/o Hagedorn AG
485502327;Arbeitsgemeinschaft Pizol Sarganserland;
483432209;Arbeitsgemeinschaft SBT Schallbergtunnel;c/o Interalp Bau AG - Frutiger AG
480048075;Arbeitsgemeinschaft SiSto Sachseln;
480006329;Ascom ;
487798936;Ascom;
480107986;Association Colas SA - Piasio SA;
483473182;Astrada AG;Bauunternehmung
488919820;Asyl-Organisation Zürich;
483248357;Atos AG;
487755340;Avataris AG;
312686708;AVEDIS Social Development Consultan GmbH;
481553381;Avesco AG;Baumaschinen und -geräte
485443279;Awetec Informatik AG;
480945877;AWK Group AG;
480021380;AXAS AG;Unternehmensberatung + Informatik
488268848;Axept AG;
481818771;BAK Basel Economics;
480460914;Basler & Hofmann AG;Ingenieure und Planer
484811419;Baumeler Leitungsbau AG;
481887987;BearingPoint Switzerland AG;Unternehmensberatung
482842911;Bedag Informatik AG;
480693761;Walo Bertschinger AG;Bauunternehmung
487348450;BfB Büro für Bildungsfragen AG;
482417607;Blanc - Labo S.A.;
483393042;Blogwerk AG;
482877839;Blum Consulting Serv.GmbH;
486134013;bmpartner Blaser Meewes & Partner A;
484597497;Born Informatik AG;
480007764;BP;ex-British Petroleum
480877112;Bruker Daltonics GmbH;
481100068;BSR & Partner AG;
480071653;Büchi Bauunternehmung AG;
537395597;Bundesfinanzdirektion Südwest;
482908394;Buob Staub & Partner RA Peter Volkart;
481861545;Büro BASS;Büro für Arbeits und sozialpolit Studien AG
